# lesson<TAB>reason — lessons requiring real-VM/host access; iximiuz Labs only.
#
# The local runner confines lesson scripts to the kind node container
# (SECURITY.md, commit 292ebb2), so these are structurally unofferable locally.
# A row here means: this lesson's tasks run on iximiuz's disposable VMs and
# nowhere else. The reason string is shown to the user by the TUI, the local
# runner, and /catalog — write it as a sentence completing "…because it …".
#
# Not lesson frontmatter: `labctl content push` 400s on unknown keys
# (iximiuz/README.md). This file is never pushed (--dir courses/kubelings).
#
# Validated by docs/scripts/gen-catalog.py: every row must name a real lesson
# that has tasks, and must carry a reason.
encryption-at-rest	it writes an EncryptionConfiguration, patches the kube-apiserver static pod manifest, and reads raw rows out of etcd
audit-policy	it installs an audit policy file and adds kube-apiserver flags on the control-plane node
cert-rotation	it runs kubeadm certs renew as root and restarts the control-plane static pods
etcd-backup-restore	it snapshots and restores etcd's on-disk data directory and stops the control plane to do it
falco-runtime-detection	it loads an eBPF probe into the node kernel and installs a privileged Falco DaemonSet, host-level and outside the kubectl sandbox
kubeadm-bootstrap	it runs kubeadm reset and kubeadm join as root on a worker node to tear it out of the cluster and re-bootstrap it
ha-control-plane	it kills a control-plane static pod on the node to force a scheduler leader-election failover
